1	[ACCOLATE] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	  5	0.454545	0.666667	0.200000	0.307692	MONOPRIL MISOPROSTOL
	  6	0.444444	0.666667	0.181818	0.285714	MONOPRIL NORPRAMIN
	* 7	0.437500	1.000000	0.136364	0.240000	MONOPRIL ACCUPRIL
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL AMOXIL
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL BEPRIDIL
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL CLOZARIL
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL LANOXIL
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL LOMOTIL
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL LOMOVIL
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL NAPRELAN
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL PRILOSEC
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL PRINIVIL
	  7	0.437500	1.000000	0.136364	0.240000	MONOPRIL VANCERIL
6	[ACETAZOLAMIDE] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	* 1	0.730769	1.000000	1.000000	1.000000	ACETAZOLAMIDE ACETOHEXAMIDE
7	[ACETOHEXAMIDE] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	* 1	0.730769	1.000000	1.000000	1.000000	ACETOHEXAMIDE ACETAZOLAMIDE
8	[ACULAR] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	  1	0.562500	0.000000	0.000000	0.000000	ACULAR ACCOLATE
	  1	0.562500	0.000000	0.000000	0.000000	ACULAR ACCUTANE
	  2	0.500000	0.000000	0.000000	0.000000	ACULAR ACCUPRIL
	  2	0.500000	0.000000	0.000000	0.000000	ACULAR ALDARA
	  2	0.500000	0.000000	0.000000	0.000000	ACULAR AMARYL
	  2	0.500000	0.000000	0.000000	0.000000	ACULAR AMICAR
	  2	0.500000	0.000000	0.000000	0.000000	ACULAR ASACOL
	  2	0.500000	0.000000	0.000000	0.000000	ACULAR ATARAX
	  2	0.500000	0.000000	0.000000	0.000000	ACULAR CALAN
	  2	0.500000	0.000000	0.000000	0.000000	ACULAR COLACE
	  2	0.500000	0.000000	0.000000	0.000000	ACULAR SERACULT
	  3	0.428571	0.000000	0.000000	0.000000	ACULAR ALLEGRA
	  3	0.428571	0.000000	0.000000	0.000000	ACULAR ATACAND
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR ALORA
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR ALTACE
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR ANSAID
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR ANUSOL
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR ARTANE
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR ATGAM
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR ATIVAN
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR AVAPRO
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR COZAAR
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR ULTANE
	  4	0.416667	0.000000	0.000000	0.000000	ACULAR ULTRAM
	  5	0.388889	0.000000	0.000000	0.000000	ACULAR ATTENUVAX
	  6	0.375000	0.000000	0.000000	0.000000	ACULAR AKARPINE
	  6	0.375000	0.000000	0.000000	0.000000	ACULAR CATAFLAM
	  6	0.375000	0.000000	0.000000	0.000000	ACULAR CEFACLOR
	  6	0.375000	0.000000	0.000000	0.000000	ACULAR GRANULEX
	  6	0.375000	0.000000	0.000000	0.000000	ACULAR NAPRELAN
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR ACIPHEX
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR ALKERAN
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR ALUPENT
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR ANAPROX
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR ANASPAZ
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR ANTACID
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR AVANDIA
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR CARDURA
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR CORGARD
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR CYTOSAR
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR FLUDARA
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR MIRALAX
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR NASAREL
	  7	0.357143	0.000000	0.000000	0.000000	ACULAR OCUFLOX
	  8	0.350000	0.000000	0.000000	0.000000	ACULAR ALPRAZOLAM
	  9	0.346154	0.000000	0.000000	0.000000	ACULAR ACETAZOLAMIDE
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR AMERGE
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR AMILORIDE
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR AMOXIL
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR ANUSOL@HC
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR AREDIA
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR CELEXA
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR CISPLATIN
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR ELAVIL
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR EURAX
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR HEMOCCULT
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR HYZAAR
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR IMURAN
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR LACRILUBE
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR LANTUS
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR LASIX
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR LAXIS
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR MEGACE
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR MIACALCIN
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR NARCAN
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR NAVANE
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR NIACIN
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR NUBAIN
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR OCUFEN
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR PLAVIX
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR RATGAM
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR REGLAN
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR SINGULAIR
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR TIAZAC
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR XANAX
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR ZAGAM
	  10	0.333333	0.000000	0.000000	0.000000	ACULAR ZANTAC
	  11	0.312500	0.000000	0.000000	0.000000	ACULAR ADDERALL
	  11	0.312500	0.000000	0.000000	0.000000	ACULAR ANTISPAS
	  11	0.312500	0.000000	0.000000	0.000000	ACULAR CELEBREX
	  11	0.312500	0.000000	0.000000	0.000000	ACULAR CITRACAL
	  11	0.312500	0.000000	0.000000	0.000000	ACULAR CLOZARIL
	  11	0.312500	0.000000	0.000000	0.000000	ACULAR COUMADIN
	  11	0.312500	0.000000	0.000000	0.000000	ACULAR DYNACIRC
	  11	0.312500	0.000000	0.000000	0.000000	ACULAR LAMICTAL
	  11	0.312500	0.000000	0.000000	0.000000	ACULAR OCUPRESS
	  12	0.300000	0.000000	0.000000	0.000000	ACULAR AMIODARONE
	  12	0.300000	0.000000	0.000000	0.000000	ACULAR CLARITIN@D
	  12	0.300000	0.000000	0.000000	0.000000	ACULAR PACLITAXEL
	  12	0.300000	0.000000	0.000000	0.000000	ACULAR PARAPLATIN
	  12	0.300000	0.000000	0.000000	0.000000	ACULAR SALBUTAMOL
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR BETAGAN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR CARDENE
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR CARDIEM
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR CEFOTAN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR CORTANE
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR CYTOGAM
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR CYTOXAN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR DANAZOL
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR DYNABAC
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR DYNACIN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR EULEXIN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR FOSAMAX
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR HUMALOG
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR HUMULIN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR LAMICEL
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR LAMISIL
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR LANOXIL
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR LANOXIN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR MERUVAX
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR NEOCARE
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR NIASPAN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR ORUVAIL
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR PRECARE
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR PROSCAR
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR RELAFEN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR REZULIN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR RIDAURA
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR RYNATAN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR SARAFEM
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR TAMIFLU
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR VERELAN
	  13	0.285714	0.000000	0.000000	0.000000	ACULAR ZINACEF
	  14	0.277778	0.000000	0.000000	0.000000	ACULAR AGGRASTAT
	  14	0.277778	0.000000	0.000000	0.000000	ACULAR CYTOSAR@U
	  14	0.277778	0.000000	0.000000	0.000000	ACULAR ENALAPRIL
	  14	0.277778	0.000000	0.000000	0.000000	ACULAR MELPHALAN
	  14	0.277778	0.000000	0.000000	0.000000	ACULAR NASALCROM
	  14	0.277778	0.000000	0.000000	0.000000	ACULAR PRAVACHOL
	  14	0.277778	0.000000	0.000000	0.000000	ACULAR VALSARTAN
	  14	0.277778	0.000000	0.000000	0.000000	ACULAR VANCENASE
	  15	0.272727	0.000000	0.000000	0.000000	ACULAR ALLOPURINOL
	  15	0.272727	0.000000	0.000000	0.000000	ACULAR AMOXICILLIN
	  15	0.272727	0.000000	0.000000	0.000000	ACULAR BETAPACE@AF
	  15	0.272727	0.000000	0.000000	0.000000	ACULAR CARBOPLATIN
	  16	0.269231	0.000000	0.000000	0.000000	ACULAR ACETOHEXAMIDE
	* 17	0.264706	1.000000	0.007299	0.014493	ACULAR OCULAR@LUBRICANTS
9	[OCULAR@LUBRICANTS] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	  1	0.352941	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS CARBRITAL
	  1	0.352941	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS PROCHLORPERAZINE
	  2	0.323529	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS CHLORPROMAZINE
	  2	0.323529	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS CLARITIN@D
	  2	0.323529	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS DAUNORUBICIN
	  2	0.323529	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS DOXORUBICIN
	  2	0.323529	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS IDARUBICIN
	  2	0.323529	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS LACRILUBE
	  2	0.323529	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS OCU@MYCIN
	  2	0.323529	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS SUMATRIPTAN
	  3	0.309524	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS DOXORUBICIN@LIPOSOMAL
	  3	0.309524	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS PENICILLIN@G@PROCAINE
	  4	0.305556	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS CLARITIN@D@24@HOUR
	  4	0.305556	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS SUFENTANIL@CITRATE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS CHLORPROPAMIDE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS CYCLOBENZAPRINE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS CYTARABINE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS FLUDARABINE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS HYDROCORTISONE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS LAMOTRIGINE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS OCUMYCIN
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS OCUPRESS
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS PENTOBARBITAL
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS PHENOBARBITAL
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS PROCARDIA@XL
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS RIMANTADINE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS SULFASALAZINE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS TRIFLUOPERAZINE
	  5	0.294118	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS ZOLMITRIPTAN
	  6	0.277778	0.000000	0.000000	0.000000	OCULAR@LUBRICANTS TETRADECYL@SULFATE
	* 7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS ACULAR
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS ALLOPURINOL
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS CARBOPLATIN
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS CARTIA@XT
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS CIPROFLOXACIN
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS CYCLOSERINE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS CYCLOSPORINE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS DOBUTAMINE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS ELDOPAQUE@FORTE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS ELDOQUIN@FORTE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS FAM@PREN@FORTE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS FENTANYL@CITRATE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS FLUOROURACIL
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS K@PHOS@NEUTRAL
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS LAMICTAL
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS LAMIVUDINE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS LEVOCABASTINE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS LOSARTAN
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS METOCLOPRAMIDE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS NICARDIPINE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS NORTRIPTYLINE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS OCUFLOX
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS OPRELVEKIN
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS OXYCONTIN
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS PENICILLAMINE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS PROCTOCREAM@HC
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS SODIUM@PHOSPHATES
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS SORIATANE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS SULFADIAZINE
	  7	0.264706	1.000000	0.016667	0.032787	OCULAR@LUBRICANTS SURGILUBE
10	[ADDERALL] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	  1	0.625000	0.000000	0.000000	0.000000	ADDERALL DESFERAL
	  2	0.562500	1.000000	0.333333	0.500000	ADDERALL ALKERAN
	* 2	0.562500	1.000000	0.333333	0.500000	ADDERALL INDERAL
11	[INDERAL] 	_____________________________________________
	Level	Score		Recall		Precision	FMeasure
	  1	0.700000	0.000000	0.000000	0.000000	INDERAL INDERAL@LA
	* 2	0.562500	0.333333	0.333333	0.333333	INDERAL ADDERALL
	  2	0.562500	0.333333	0.333333	0.333333	INDERAL DESFERAL
	  3	0.500000	0.333333	0.100000	0.153846	INDERAL DEMEROL
	  3	0.500000	0.333333	0.100000	0.153846	INDERAL DESERIL
	  3	0.500000	0.333333	0.100000	0.153846	INDERAL IMURAN
	  3	0.500000	0.333333	0.100000	0.153846	INDERAL INDINAVIR
	  3	0.500000	0.333333	0.100000	0.153846	INDERAL NEORAL
	  3	0.500000	0.333333	0.100000	0.153846	INDERAL NICODERM
	  3	0.500000	0.333333	0.100000	0.153846	INDERAL NIZORAL
	  4	0.444444	0.333333	0.083333	0.133333	INDERAL NITRODERM
	  4	0.444444	0.333333	0.083333	0.133333	INDERAL RISPERDAL
	  5	0.437500	0.333333	0.052632	0.090909	INDERAL CITRACAL
	  5	0.437500	0.333333	0.052632	0.090909	INDERAL CLINORIL
	  5	0.437500	0.333333	0.052632	0.090909	INDERAL LIORESAL
	  5	0.437500	0.333333	0.052632	0.090909	INDERAL PINDOLOL
	  5	0.437500	0.333333	0.052632	0.090909	INDERAL SINEQUAN
	  5	0.437500	0.333333	0.052632	0.090909	INDERAL VANCERIL
	  5	0.437500	0.333333	0.052632	0.090909	INDERAL ZINECARD
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL ALKERAN
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL DENAVIR
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL DESYREL
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL GENGRAF
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL IMDUR
	* 6	0.428571	0.666667	0.064516	0.117647	INDERAL ISORDIL
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL LIBRAX
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL MIRALAX
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL MYLERAN
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL NIFEREX
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL RIDAURA
	  6	0.428571	0.666667	0.064516	0.117647	INDERAL ZINACEF
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL DEPAKOTE
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL DIAZEPAM
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL ELDEPRYL
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL FIORINAL
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL LEUKERAN
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL NAPRELAN
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL PERATIVE
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL SERACULT
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL THERAFLU
	  7	0.375000	0.666667	0.048780	0.090909	INDERAL TRIDRATE
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL ALDARA
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL AVANDIA
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL CARDURA
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL CEREBRA
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL COVERA
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL DIABETA
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL DIOVAL
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL EDECRIN
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL EURAX
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL FLUDARA
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL IMOVAX
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL IODINE
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL MERUVAX
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL MIRAPEX
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL NARCAN
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL NASAREL
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL NEOCARE
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL NEOCATE
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL NEOSAR
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL NEUMEGA
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL NORFLEX
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL NORVASC
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL PERMAX
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL PLENDIL
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL PLETAL
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL PROVERA
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL QUININE
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL VERELAN
	  8	0.357143	0.666667	0.028571	0.054795	INDERAL VIAGRA
	  9	0.350000	0.666667	0.027027	0.051948	INDERAL CALCIFEROL
	  9	0.350000	0.666667	0.027027	0.051948	INDERAL IMIPRAMINE
	  9	0.350000	0.666667	0.027027	0.051948	INDERAL LISINOPRIL
	  9	0.350000	0.666667	0.027027	0.051948	INDERAL SERTRALINE
	  10	0.333333	0.666667	0.024390	0.047059	INDERAL DEXFERRUM
	  10	0.333333	0.666667	0.024390	0.047059	INDERAL ESTRADERM
	  10	0.333333	0.666667	0.024390	0.047059	INDERAL MINOXIDIL
	  10	0.333333	0.666667	0.024390	0.047059	INDERAL NORPRAMIN
	  10	0.333333	0.666667	0.024390	0.047059	INDERAL SINGULAIR
	  10	0.333333	0.666667	0.024390	0.047059	INDERAL TESTODERM
	  10	0.333333	0.666667	0.024390	0.047059	INDERAL VANCENASE
	  10	0.333333	0.666667	0.024390	0.047059	INDERAL VERAPAMIL
	  11	0.318182	0.666667	0.024096	0.046512	INDERAL DESIPRAMINE
	  12	0.312500	0.666667	0.018519	0.036036	INDERAL AMRINONE
	  12	0.312500	0.666667	0.018519	0.036036	INDERAL BENADRYL
	  12	0.312500	0.666667	0.018519	0.036036	INDERAL BREVITAL
	  12	0.312500	0.666667	0.018519	0.036036	INDERAL CITRUCEL
	  12	0.312500	0.666667	0.018519	0.036036	INDERAL DIPRIVAN
